Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,state
bankura,36,ARUP CHAKRABORTY,All India Trinamool Congress,DR. SUBHAS SARKAR,Bharatiya Janata Party,32778,Result Declared,West Bengal
bapatla,15,KRISHNA PRASAD TENNETI,Telugu Desam,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,208031,Result Declared,Andhra Pradesh
barabanki,53,TANUJ PUNIA,Indian National Congress,RAJRANI RAWAT,Bharatiya Janata Party,215704,Result Declared,Uttar Pradesh
baramati,35,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,158333,Result Declared,Maharashtra
baramulla,1,ABDUL RASHID SHEIKH,Independent,OMAR ABDULLAH,Jammu & Kashmir National Conference,204142,Result Declared,Jammu and Kashmir
barasat,17,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,SWAPAN MAJUMDER,Bharatiya Janata Party,114189,Result Declared,West Bengal
bardhaman purba,38,DR. SHARMILA SARKAR,All India Trinamool Congress,ASIM KUMAR SARKAR,Bharatiya Janata Party,160572,Result Declared,West Bengal
bardhaman-durgapur,39,AZAD KIRTI JHA,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,137981,Result Declared,West Bengal
bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,230253,Result Declared,Gujarat
bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,PRAVEEN SINGH ARON,Samajwadi Party,34804,Result Declared,Uttar Pradesh
bargarh,1,PRADEEP PUROHIT,Bharatiya Janata Party,PARINITA MISHRA,Biju Janata Dal,251667,Result Declared,Odisha
barmer,17,UMMEDA RAM BENIWAL,Indian National Congress,RAVINDRA SINGH BHATI,Independent,118176,Result Declared,Rajasthan
basirhat,18,SK NURUL ISLAM,All India Trinamool Congress,REKHA PATRA,Bharatiya Janata Party,333547,Result Declared,West Bengal
basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994,Result Declared,Uttar Pradesh
bathinda,11,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,49656,Result Declared,Punjab
beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,6553,Result Declared,Maharashtra
begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,81480,Result Declared,Bihar
belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,MRINAL R HEBBALKAR,Indian National Congress,178437,Result Declared,Karnataka
bellary,9,E. TUKARAM,Indian National Congress,B. SREERAMULU,Bharatiya Janata Party,98992,Result Declared,Karnataka
berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,BHRUGU BAXIPATRA,Biju Janata Dal,165476,Result Declared,Odisha
betul,29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,RAMU TEKAM,Indian National Congress,379761,Result Declared,Madhya Pradesh
bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072,Result Declared,Uttar Pradesh
bhadrak,7,AVIMANYU SETHI,Bharatiya Janata Party,MANJULATA MANDAL,Biju Janata Dal,91544,Result Declared,Odisha
bhandara gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,SUNIL BABURAO MENDHE,Bharatiya Janata Party,37380,Result Declared,Maharashtra
bharatpur,9,SANJNA JATAV,Indian National Congress,RAMSWAROOP KOLI,Bharatiya Janata Party,51983,Result Declared,Rajasthan
bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,85696,Result Declared,Gujarat
bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,455289,Result Declared,Gujarat
bhilwara,23,DAMODAR AGARWAL,Bharatiya Janata Party,C P JOSHI,Indian National Congress,354606,Result Declared,Rajasthan
bhind,2,SANDHYA RAY,Bharatiya Janata Party,PHOOL SINGH BARAIYA,Indian National Congress,64840,Result Declared,Madhya Pradesh
bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,66121,Result Declared,Maharashtra
bhiwani-mahendragarh,8,DHARAMBIR SINGH,Bharatiya Janata Party,RAO DAN SINGH,Indian National Congress,41510,Result Declared,Haryana
bhongir,14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,222170,Result Declared,Telangana
bhopal,19,ALOK SHARMA,Bharatiya Janata Party,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,501499,Result Declared,Madhya Pradesh
bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,BHAGWANTH KHUBA,Bharatiya Janata Party,128875,Result Declared,Karnataka
bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,RAJU ALAGUR.,Indian National Congress,77229,Result Declared,Karnataka
bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,DEEPAK,Samajwadi Party,37508,Result Declared,Uttar Pradesh
bikaner,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,GOVINDRAM MEGHWAL,Indian National Congress,55711,Result Declared,Rajasthan
bilaspur,5,TOKHAN SAHU,Bharatiya Janata Party,DEVENDRA YADAV,Indian National Congress,164558,Result Declared,Chhattisgarh
birbhum,42,SATABDI ROY,All India Trinamool Congress,DEBTANU BHATTACHARYA,Bharatiya Janata Party,197650,Result Declared,West Bengal
bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,SUJATA MONDAL,All India Trinamool Congress,5567,Result Declared,West Bengal
bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,SHIVRAM,Indian National Congress,275134,Result Declared,Uttar Pradesh
buldhana,5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),29479,Result Declared,Maharashtra
buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,30091,Result Declared,Bihar
chalakudy,11,BENNY BEHANAN,Indian National Congress,PROF C RAVEENDRANATH,Communist Party of India (Marxist),63754,Result Declared,Kerala
chamarajanagar,22,SUNIL BOSE,Indian National Congress,BALARAJ.S,Bharatiya Janata Party,188706,Result Declared,Karnataka
chandauli,76,BIRENDRA SINGH,Samajwadi Party,DR. MAHENDRA NATH PANDEY,Bharatiya Janata Party,21565,Result Declared,Uttar Pradesh
chandigarh,1,MANISH TEWARI,Indian National Congress,SANJAY TANDON,Bharatiya Janata Party,2504,Result Declared,Chandigarh
chandni chowk,1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,89325,Result Declared,Delhi
chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,260406,Result Declared,Maharashtra
chatra,4,KALI CHARAN SINGH,Bharatiya Janata Party,KRISHNA NAND TRIPATHI,Indian National Congress,220959,Result Declared,Jharkhand
chennai central,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,VINOJ,Bharatiya Janata Party,244689,Result Declared,Tamil Nadu
chennai north,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222,Result Declared,Tamil Nadu
chennai south,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945,Result Declared,Tamil Nadu
chevella,10,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,DR GADDAM RANJITH REDDY,Indian National Congress,172897,Result Declared,Telangana
chhindwara,16,BUNTY VIVEK SAHU,Bharatiya Janata Party,NAKUL KAMALNATH,Indian National Congress,113618,Result Declared,Madhya Pradesh
chhota udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,398777,Result Declared,Gujarat
chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,M.S. RAKSHA RAMAIAH,Indian National Congress,163460,Result Declared,Karnataka
chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,90834,Result Declared,Karnataka
chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,B.N.CHANDRAPPA,Indian National Congress,48121,Result Declared,Karnataka
chittoor,25,DAGGUMALLA PRASADA RAO,Telugu Desam,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,220479,Result Declared,Andhra Pradesh
chittorgarh,21,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,ANJANA UDAILAL,Indian National Congress,389877,Result Declared,Rajasthan
churu,3,RAHUL KASWAN,Indian National Congress,DEVENDRA JHAJHARIA,Bharatiya Janata Party,72737,Result Declared,Rajasthan
coimbatore,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,ANNAMALAI K,Bharatiya Janata Party,118068,Result Declared,Tamil Nadu
coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,NISITH PRAMANIK,Bharatiya Janata Party,39250,Result Declared,West Bengal
cuddalore,26,M.K. VISHNUPRASAD,Indian National Congress,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896,Result Declared,Tamil Nadu
cuttack,14,BHARTRUHARI MAHTAB,Bharatiya Janata Party,SANTRUPT MISRA,Biju Janata Dal,57077,Result Declared,Odisha
dadar & nagar haveli,2,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,AJIT RAMJIBHAI MAHALA,Indian National Congress,57584,Result Declared,Dadra and Nagar Haveli and Daman and Diu
dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,333677,Result Declared,Gujarat
daman & diu,1,PATEL UMESHBHAI BABUBHAI,Independent,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,6225,Result Declared,Dadra and Nagar Haveli and Daman and Diu
damoh,7,RAHUL SINGH LODHI,Bharatiya Janata Party,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,406426,Result Declared,Madhya Pradesh
darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,178156,Result Declared,Bihar
darrang-udalguri,4,DILIP SAIKIA,Bharatiya Janata Party,MADHAB RAJBANGSHI,Indian National Congress,329012,Result Declared,Assam
dausa,11,MURARI LAL MEENA,Indian National Congress,KANHAIYA LAL MEENA,Bharatiya Janata Party,237340,Result Declared,Rajasthan
davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,26094,Result Declared,Karnataka
dewas,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,425225,Result Declared,Madhya Pradesh
dhanbad,7,DULU MAHATO,Bharatiya Janata Party,ANUPAMA SINGH,Indian National Congress,331583,Result Declared,Jharkhand
dhar,25,SAVITRI THAKUR,Bharatiya Janata Party,RADHESHYAM MUVEL,Indian National Congress,218665,Result Declared,Madhya Pradesh
dharmapuri,10,MANI. A.,Dravida Munnetra Kazhagam,SOWMIYA ANBUMANI,Pattali Makkal Katch,21300,Result Declared,Tamil Nadu
dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,VINOD ASOOTI,Indian National Congress,97324,Result Declared,Karnataka
dhenkanal,9,RUDRA NARAYAN PANY,Bharatiya Janata Party,ABINASH SAMAL,Biju Janata Dal,76567,Result Declared,Odisha
dhule,2,BACHHAV SHOBHA DINESH,Indian National Congress,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,3831,Result Declared,Maharashtra
diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930,Result Declared,West Bengal
dibrugarh,13,SARBANANDA SONOWAL,Bharatiya Janata Party,LURINJYOTI GOGOI,Assam Jatiya Parishad,279321,Result Declared,Assam
diphu,6,AMARSING TISSO,Bharatiya Janata Party,J. I. KATHAR,Independent,147603,Result Declared,Assam
domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,42728,Result Declared,Uttar Pradesh
dum dum,16,SOUGATA RAY,All India Trinamool Congress,SILBHADRA DATTA,Bharatiya Janata Party,70660,Result Declared,West Bengal
dumka,2,NALIN SOREN,Jharkhand Mukti Morcha,SITA MURMU,Bharatiya Janata Party,22527,Result Declared,Jharkhand
durg,7,VIJAY BAGHEL,Bharatiya Janata Party,RAJENDRA SAHU,Indian National Congress,438226,Result Declared,Chhattisgarh
east delhi,3,HARSH MALHOTRA,Bharatiya Janata Party,KULDEEP KUMAR (MONU),Aam Aadmi Party,93663,Result Declared,Delhi
eluru,10,PUTTA MAHESH KUMAR,Telugu Desam,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,181857,Result Declared,Andhra Pradesh
ernakulam,12,HIBI EDEN,Indian National Congress,K. J. SHINE TEACHER,Communist Party of India (Marxist),250385,Result Declared,Kerala
erode,17,K E PRAKASH,Dravida Munnetra Kazhagam,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566,Result Declared,Tamil Nadu
etah,22,DEVESH SHAKYA,Samajwadi Party,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,28052,Result Declared,Uttar Pradesh
etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,58419,Result Declared,Uttar Pradesh
faizabad,54,AWADHESH PRASAD,Samajwadi Party,LALLU SINGH,Bharatiya Janata Party,54567,Result Declared,Uttar Pradesh
faridabad,10,KRISHAN PAL,Bharatiya Janata Party,MAHENDER PRATAP SINGH,Indian National Congress,172914,Result Declared,Haryana
faridkot,9,SARABJEET SINGH KHALSA,Independent,KARAMJIT SINGH ANMOL,Aam Aadmi Party,70053,Result Declared,Punjab
farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,2678,Result Declared,Uttar Pradesh
fatehgarh sahib,8,AMAR SINGH,Indian National Congress,GURPREET SINGH GP,Aam Aadmi Party,34202,Result Declared,Punjab
fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,NIRANJAN JYOTI,Bharatiya Janata Party,33199,Result Declared,Uttar Pradesh
fatehpur sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,RAMNATH SINGH SIKARWAR,Indian National Congress,43405,Result Declared,Uttar Pradesh
firozabad,20,AKSHAYA YADAV,Samajwadi Party,VISHWADEEP SINGH,Bharatiya Janata Party,89312,Result Declared,Uttar Pradesh
firozpur,10,SHER SINGH GHUBAYA,Indian National Congress,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3242,Result Declared,Punjab
gadchiroli - chimur,12,DR. KIRSAN NAMDEO,Indian National Congress,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,141696,Result Declared,Maharashtra
gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,SONAL RAMANBHAI PATEL,Indian National Congress,744716,Result Declared,Gujarat
garhwal,2,ANIL BALUNI,Bharatiya Janata Party,GANESH GODIYAL,Indian National Congress,163503,Result Declared,Uttarakhand
gautam buddha nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,559472,Result Declared,Uttar Pradesh
gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),KUMAR SARVJEET,Rashtriya Janata Dal,101812,Result Declared,Bihar
ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,182868,Result Declared,West Bengal
ghaziabad,12,ATUL GARG,Bharatiya Janata Party,DOLLY SHARMA,Indian National Congress,336965,Result Declared,Uttar Pradesh
ghazipur,75,AFZAL ANSARI,Samajwadi Party,PARS NATH RAI,Bharatiya Janata Party,124861,Result Declared,Uttar Pradesh
ghosi,70,RAJEEV RAI,Samajwadi Party,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,162943,Result Declared,Uttar Pradesh
giridih,6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,80880,Result Declared,Jharkhand
godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,PRADEEP YADAV,Indian National Congress,101813,Result Declared,Jharkhand
gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,SHREYA VERMA,Samajwadi Party,46224,Result Declared,Uttar Pradesh
gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,KAJAL NISHAD,Samajwadi Party,103526,Result Declared,Uttar Pradesh
gulbarga,5,RADHAKRISHNA,Indian National Congress,DR. UMESH G JADHAV,Bharatiya Janata Party,27205,Result Declared,Karnataka
guna,4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,540929,Result Declared,Madhya Pradesh
guntur,13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,344695,Result Declared,Andhra Pradesh
gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,DINESH SINGH BABBU,Bharatiya Janata Party,82861,Result Declared,Punjab
gurgaon,9,RAO INDERJIT SINGH,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,75079,Result Declared,Haryana
guwahati,5,BIJULI KALITA MEDHI,Bharatiya Janata Party,MIRA BORTHAKUR GOSWAMI,Indian National Congress,251090,Result Declared,Assam
gwalior,3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,PRAVEEN PATHAK,Indian National Congress,70210,Result Declared,Madhya Pradesh
hamirpur,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,SATPAL RAIZADA,Indian National Congress,182357,Result Declared,Himachal Pradesh
hamirpur,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,SATPAL RAIZADA,Indian National Congress,182357,Result Declared,Uttar Pradesh
hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629,Result Declared,Himachal Pradesh
hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629,Result Declared,Uttar Pradesh
hardoi,31,JAI PRAKASH,Bharatiya Janata Party,USHA VERMA,Samajwadi Party,27856,Result Declared,Uttar Pradesh
hassan,16,SHREYAS. M. PATEL,Indian National Congress,PRAJWAL REVANNA,Janata Dal (Secular),42649,Result Declared,Karnataka
hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,JASVEER VALMIKI,Samajwadi Party,247318,Result Declared,Uttar Pradesh
